"","year","state","rate"
"1",1928,"Alabama",334.99
"2",1928,"Alaska",NA
"3",1928,"Arizona",200.75
"4",1928,"Arkansas",481.77
"5",1928,"California",69.22
"6",1928,"Colorado",206.98
"7",1928,"Connecticut",634.95
"8",1928,"Delaware",256.02
"9",1928,"District Of Columbia",535.63
"10",1928,"Florida",119.58
"11",1928,"Georgia",159.73
"12",1928,"Hawaii",NA
"13",1928,"Idaho",19.59
"14",1928,"Illinois",98.24
"15",1928,"Indiana",263.67
"16",1928,"Iowa",28.63
"17",1928,"Kansas",136.92
"18",1928,"Kentucky",216.26
"19",1928,"Louisiana",260.33
"20",1928,"Maine",401.96
"21",1928,"Maryland",1089.39
"22",1928,"Massachusetts",981.06
"23",1928,"Michigan",547.55
"24",1928,"Minnesota",79.13
"25",1928,"Mississippi",NA
"26",1928,"Missouri",198.63
"27",1928,"Montana",139.86
"28",1928,"Nebraska",78.95
"29",1928,"Nevada",NA
"30",1928,"New Hampshire",272.15
"31",1928,"New Jersey",797.14
"32",1928,"New Mexico",663.41
"33",1928,"New York",649.97
"34",1928,"North Carolina",1823.69
"35",1928,"North Dakota",55.73
"36",1928,"Ohio",355.92
"37",1928,"Oklahoma",268.71
"38",1928,"Oregon",223.09
"39",1928,"Pennsylvania",583.95
"40",1928,"Rhode Island",735.32
"41",1928,"South Carolina",1138.49
"42",1928,"South Dakota",160.16
"43",1928,"Tennessee",315.43
"44",1928,"Texas",97.35
"45",1928,"Utah",16.83
"46",1928,"Vermont",334.8
"47",1928,"Virginia",NA
"48",1928,"Washington",344.82
"49",1928,"West Virginia",195.98
"50",1928,"Wisconsin",124.61
"51",1928,"Wyoming",227
"52",1929,"Alabama",111.93
"53",1929,"Alaska",NA
"54",1929,"Arizona",54.88
"55",1929,"Arkansas",67.22
"56",1929,"California",72.8
"57",1929,"Colorado",74.24
"58",1929,"Connecticut",614.82
"59",1929,"Delaware",239.82
"60",1929,"District Of Columbia",94.2
"61",1929,"Florida",78.01
"62",1929,"Georgia",40.63
"63",1929,"Hawaii",NA
"64",1929,"Idaho",160.37
"65",1929,"Illinois",506.18
"66",1929,"Indiana",322.1
"67",1929,"Iowa",82.95
"68",1929,"Kansas",555.44
"69",1929,"Kentucky",43.17
"70",1929,"Louisiana",88.79
"71",1929,"Maine",719.17
"72",1929,"Maryland",126.04
"73",1929,"Massachusetts",351.42
"74",1929,"Michigan",376.46
"75",1929,"Minnesota",492.36
"76",1929,"Mississippi",NA
"77",1929,"Missouri",183.46
"78",1929,"Montana",817.76
"79",1929,"Nebraska",303.03
"80",1929,"Nevada",NA
"81",1929,"New Hampshire",344.53
"82",1929,"New Jersey",181.86
"83",1929,"New Mexico",54.78
"84",1929,"New York",249.09
"85",1929,"North Carolina",38.49
"86",1929,"North Dakota",339.19
"87",1929,"Ohio",561.14
"88",1929,"Oklahoma",46.19
"89",1929,"Oregon",492.32
"90",1929,"Pennsylvania",489.56
"91",1929,"Rhode Island",270.62
"92",1929,"South Carolina",12.2
"93",1929,"South Dakota",167.77
"94",1929,"Tennessee",33.04
"95",1929,"Texas",71.28
"96",1929,"Utah",68.9
"97",1929,"Vermont",105.31
"98",1929,"Virginia",NA
"99",1929,"Washington",248.6
"100",1929,"West Virginia",380.14
"101",1929,"Wisconsin",1016.54
"102",1929,"Wyoming",312.16
"103",1930,"Alabama",157
"104",1930,"Alaska",NA
"105",1930,"Arizona",466.31
"106",1930,"Arkansas",53.44
"107",1930,"California",760.24
"108",1930,"Colorado",1132.76
"109",1930,"Connecticut",112.23
"110",1930,"Delaware",109.25
"111",1930,"District Of Columbia",182.1
"112",1930,"Florida",356.59
"113",1930,"Georgia",153.21
"114",1930,"Hawaii",NA
"115",1930,"Idaho",196.66
"116",1930,"Illinois",216.07
"117",1930,"Indiana",120.73
"118",1930,"Iowa",395.59
"119",1930,"Kansas",666.71
"120",1930,"Kentucky",70.15
"121",1930,"Louisiana",86.29
"122",1930,"Maine",198.88
"123",1930,"Maryland",73.89
"124",1930,"Massachusetts",630.29
"125",1930,"Michigan",583.62
"126",1930,"Minnesota",218.99
"127",1930,"Mississippi",NA
"128",1930,"Missouri",149.81
"129",1930,"Montana",117.52
"130",1930,"Nebraska",745.32
